TxnDate,Description,DebitAmount,RefNo
2026-09-03,UPI-SWIGGY-BANGALORE-394821,340.00,UPI394821
2026-09-03,BLINKIT COMMERCE GURGAON,520.00,UPI847291
2026-09-02,UBER INDIA TECH PVT LTD,290.00,UPI192837
2026-09-02,STARBUCKS COFFEE KORAMANGALA,380.00,POS984712
2026-09-01,AMAZON PAY INDIA PVT LTD,1299.00,NET738291
2026-08-31,APOLLO PHARMACY INDIRANAGAR,450.00,POS192831
2026-08-30,BESCOM ELECTRICITY BILL BANGALORE,1450.00,BILL293841
2026-08-29,SHELL PETROL PUMP WHITEFIELD,2000.00,POS492019
2026-08-28,PVR CINEMAS FORUM MALL,680.00,POS839201
2026-08-27,DMART READY SUPERMARKET,3200.00,POS928341
