TxnDate,Narration,Amount,Category,ReferenceNo
2026-09-03,Zomato Online Food Order Pune,420.00,Food & Dining,TXN984210
2026-09-03,Swiggy Instamart Groceries Delivery,680.00,Groceries,TXN984211
2026-09-02,Uber Premier Hinjewadi to Airport,850.00,Transportation,TXN984212
2026-09-02,Starbucks Coffee Phoenix Mall,390.00,Food & Dining,TXN984213
2026-09-01,Amazon India Electronics & Cables,1499.00,Shopping,TXN984214
2026-09-01,Tata Power Electricity Monthly Bill,2150.00,Bills & Utilities,TXN984215
2026-08-31,Apollo Pharmacy Medicines & Health,340.00,Health,TXN984216
2026-08-31,Chai Point Cutting Tea & Bun Maska,150.00,Food & Dining,TXN984217
2026-08-30,Shell Petrol Pump Fuel Hinjewadi,2500.00,Transportation,TXN984218
2026-08-30,Cult.fit Monthly Membership Auto-Debit,1250.00,Health,TXN984219
2026-08-29,PVR Cinemas Inox Tickets 2 Persons,720.00,Entertainment,TXN984220
2026-08-29,Burger King Whopper Meal Combo,380.00,Food & Dining,TXN984221
2026-08-28,DMart Supermarket Monthly Groceries,3850.00,Groceries,TXN984222
2026-08-27,Flipkart Fashion Clothing Order,1899.00,Shopping,TXN984223
2026-08-26,Blinkit Instant Grocery Quick Delivery,310.00,Groceries,TXN984224
2026-08-25,Reliance Digital Bluetooth Earphones,1999.00,Shopping,TXN984225
2026-08-24,Udemy Online Python AI Masterclass,499.00,Education,TXN984226
2026-08-23,Zepto 10 Min Delivery Snacks,180.00,Groceries,TXN984227
2026-08-22,Barbeque Nation Buffet Dinner,2800.00,Food & Dining,TXN984228
2026-08-21,HP Petrol Pump Fuel Refill,1500.00,Transportation,TXN984229
